month,day,subjectivity
10,17,0.1875
10,18,0.4369791666666666
10,19,0.36250000000000004
10,21,0.9
10,22,0.5439814814814815
10,23,0.10472222222222223
10,24,0.14490740740740743
10,25,0.32052469135802464
10,26,0.30000000000000004
10,27,1.0
10,29,0.5
10,31,0.6583333333333333
11,1,0.4083333333333333
11,2,0.46222222222222226
11,3,0.3229166666666667
11,4,0.37422639089305765
11,5,0.3543181818181818
11,6,0.30138888888888893
11,7,0.25
11,8,0.4513888888888889
11,9,0.45
11,10,0.4214529914529914
11,11,0.3123456790123457
11,12,0.43333333333333335
11,13,0.375
11,14,0.4666666666666666
11,15,0.4177083333333333
11,16,0.26805555555555555
11,17,0.446875
11,18,0.23730158730158726
11,19,0.0
11,20,0.25
11,21,0.0
11,22,0.6000000000000001
11,23,0.13
11,24,0.2
11,25,0.0
11,26,0.28484848484848485
11,27,0.0
11,28,0.375
11,29,0.45
11,30,0.49374999999999997
12,1,0.3325
12,2,0.46749999999999997
12,3,0.1
12,6,0.3333333333333333
12,7,0.0
12,8,0.0
12,9,0.2416666666666667
12,10,0.07500000000000001
12,11,0.3625
12,12,0.390625
12,13,0.3725925925925926
12,14,0.4306547619047619
12,15,0.4628787878787879
12,16,0.19772727272727275
12,17,0.21333333333333332
12,18,0.29583333333333334
12,19,0.0
12,20,0.3869047619047619
12,21,0.13607142857142857
12,22,0.37142857142857144
12,23,0.0
12,24,0.4645833333333333
12,27,0.55
12,28,0.5666666666666667
12,29,0.4777777777777778
12,30,0.19166666666666665
